,UK_B,US_B,JP_B,GE_B,CNY_FX,EUR_FX,GBP_FX,JPY_FX,GOLDS_C,EPRA_X,MXWD_X,NKY_X,SHCOMP_X,SPX_X,SX5E_X,UKX_X,ETH,LTC,DASH,XRP,BTC
2022-03-11,122.467,122.9452,105.9165,117.1542,0.15775,1.0912,1.3037,0.008524,1988.46,2506.5864300000007,663.53,214.69949,522.09973,4204.31,4024.48901,9333.10156,2562.8323535359655,104.87620118710161,95.59721862248158,0.802186612999849,38775.17558840679
2022-03-12,,,,,,,,,,,,,,,,,2579.4581356883637,105.71313717257148,99.70135318411269,0.7862234817530646,38903.69354800599
2022-03-13,,,,,,,,,,,,,,,,,2518.492845270615,101.88538223423485,93.95183214793481,0.7619373501661538,37852.52514106289
2022-03-14,121.6095,121.249,105.8176,116.4083,0.15709,1.094,1.3002,0.008461,1950.88,2553.82764,658.61,214.52785,506.39096,4173.11,4105.85742,9370.93359,2591.5420409591425,105.61805947514047,98.30409751245215,0.7751485976071154,39669.423812004505
2022-03-15,121.9725,121.1932,105.6646,116.8555,0.15697,1.0956,1.3042,0.008454000000000001,1917.94,2519.8855,664.83,214.18353,480.95392,4262.45,4088.74463,9358.54785,2620.363852420936,106.99453079182052,95.2338877157992,0.7664837658571177,39331.84654059453
2022-03-16,121.2042,121.0575,105.6621,116.3729,0.15741,1.1035,1.3149,0.008421,1927.29,2583.10718,683.17,217.23593,499.08862,4357.86,4272.43555,9544.08008,2771.759457292368,111.37499597888475,98.52693816453063,0.7943801513863666,41165.63506140341
2022-03-17,121.8754,120.7483,105.718,116.0663,0.15755,1.1091,1.3149,0.008431999999999999,1942.89,2641.38281,695.25,224.95686,506.54544,4411.67,4323.1958,9725.75391,2817.401074966818,110.29402879231246,96.4901173925,0.7938218847195059,41001.70957801974
2022-03-18,122.8112,121.1959,105.7071,116.4067,0.1572,1.1051,1.3178,0.008393000000000001,1921.62,2630.47168,701.46,225.13788,511.07858,4463.12,4315.7085,9766.09863,2945.7459101862714,112.17380362345374,98.82951617334365,0.7984573845178067,41837.41313797566
2022-03-19,,,,,,,,,,,,,,,,,2947.226158224087,115.83038244471739,102.94809389052614,0.818980707909861,42201.939920688186
2022-03-20,,,,,,,,,,,,,,,,,2860.641960901919,114.773677415329,115.20519679544583,0.8064894377913627,41283.25900104565
2022-03-21,121.4593,119.4932,105.7077,115.555,0.15734,1.1016,1.3169,0.00837,1935.91,2583.62573,700.82,,511.91586,4461.18,4282.01367,9806.83691,2896.5869324317464,116.0968915515532,122.74647222337516,0.8379809664029861,41061.81589384987
2022-03-22,120.5001,118.7922,105.5279,114.813,0.15708,1.1029,1.3262,0.008278,1921.69,2618.26001,708.21,225.32785,512.04968,4511.61,4327.76221,9908.14941,2969.78498365825,122.8543693526866,130.6606485720127,0.8372243965986176,42401.895597489434
2022-03-23,121.1132,119.6527,105.4547,115.1267,0.15693,1.1004,1.3205,0.008254000000000001,1943.86,2542.36401,703.14,231.60287,513.31244,4456.24,4258.46338,9854.0,3028.8352577107285,122.30633484375645,129.97889780244995,0.8376505621816649,42802.15471016985
2022-03-24,121.2733,118.9745,105.3867,114.6266,0.15704,1.0997,1.3187,0.008171,1957.69,2514.18481,708.82,229.84784,510.42181,4520.16,4247.41113,9835.28613,3106.657023584939,126.94093012924071,130.3393015146597,0.8421114022402378,43936.09623454058
2022-03-25,120.7283,117.6999,105.2752,114.22,0.15708,1.0983,1.3182,0.008191,1958.29,2558.91357,709.58,230.54742,504.57727,4543.06,4251.021970000002,9874.28027,3106.072054158695,124.04393184970449,126.05954555883915,0.8244213913542029,44331.77795706412
2022-03-26,,,,,,,,,,,,,,,,,3140.8757105064406,124.69311285061232,127.92570065342865,0.8310015071136351,44510.84421762133
2022-03-27,,,,,,,,,,,,,,,,,3285.1730967305425,129.12827809912358,132.5256467094081,0.8539236502608716,46715.1176185105
2022-03-28,121.4299,118.0427,105.1785,114.1009,0.15693,1.0985,1.3088,0.00807,1922.8,2569.13281,712.16,226.44968,504.45734,4575.52,4273.47754,9782.33984,3328.9341246867148,127.90929429443416,127.40939445204293,0.8640548948293576,46994.879118357465
